Fund,Founder,AUM_Billions,Strategy_Type,5Y_Annualized_Return,2025_Return,Sharpe_Ratio,Max_Drawdown,Top_1_Holding,Top_1_Weight_Pct,Top_2_Holding,Top_2_Weight_Pct,Top_3_Holding,Top_3_Weight_Pct,Top_4_Holding,Top_4_Weight_Pct,Top_5_Holding,Top_5_Weight_Pct,Top_5_Total_Pct,Num_Holdings,Concentration_Style,Primary_Sectors,Leverage,Risk_Management_Style
Renaissance Medallion,Jim Simons,12,Quantitative,40,30,2.0+,<10%,N/A (diversified),<1%,N/A,<1%,N/A,<1%,N/A,<1%,N/A,<1%,<5%,Thousands,Ultra-Diversified,"All Sectors",12.5-20x,Statistical Model
Discovery Capital,Robert Citrone,2.5,Global Macro,35,33,1.8,>30%,Argentine Banks,20%+,EM Equities,15%,Macro Themes,10%,Short Book,10%,Other,10%,65%+,20-30,Very Concentrated,"Emerging Markets, Macro",2-4x,Macro Driven
Bridgewater Pure Alpha,Ray Dalio,92,Systematic Macro,15,33,1.5,13%,Bonds,25%,Currencies,25%,Equities,25%,Commodities,25%,N/A,N/A,100%,30-40 trades,Risk Parity,"All Asset Classes",2-3x,Risk Parity
D.E. Shaw Composite,David Shaw,70,Quant Multi-Strategy,21,18.5,1.6,<15%,Quant Equity,40%,Systematic Macro,30%,Discretionary,20%,Hybrid,10%,N/A,N/A,100%,Hundreds,Diversified,"Multi-Asset",2-4x,Statistical Model
Citadel Wellington,Ken Griffin,65,Multi-Strategy,15,10.2,2.0,<10%,Equities,25%,Fixed Income,20%,Macro,15%,Commodities,15%,Quantitative,15%,90%,Hundreds,Pod Diversified,"Multi-Sector",3-5x,Centralized Risk
Millennium Management,Izzy Englander,85,Multi-Strategy Pod,14,10.5,2.5,<5%,Fundamental Equity,30%,Arbitrage,25%,Commodities,25%,Systematic,20%,N/A,N/A,100%,Thousands,Ultra-Diversified,"Multi-Sector",4-6x,5%/7.5% Stop Rules
Pershing Square,Bill Ackman,20,Value/Activist,25,25.3,1.2,>20%,Restaurant Brands,15%,Chipotle,12%,Hilton,10%,Google,10%,Howard Hughes,8%,55%,7-10,Very Concentrated,"Consumer, Financials",Low,Fundamental Analysis
Berkshire Hathaway,Warren Buffett,381 cash,Value Investing,14,19,0.9,<15%,Apple,40%,Bank of America,10%,American Express,8%,Coca-Cola,7%,Chevron,5%,70%,30-40,Concentrated,"Consumer, Financials, Tech",<1x,Fundamental/Moat
Duquesne Family Office,Stanley Druckenmiller,4,Global Macro,17,15,1.5,<20%,Natera,10%,Insmed,8%,Teva Pharma,7%,TSMC,7%,Woodward,7%,39%,30-40,Concentrated,"Healthcare, Tech, Macro",1-3x,Macro Top-Down
Appaloosa Management,David Tepper,7,Distressed/Event,15,26,1.0,>30%,Green Brick,28%,Fluor,9%,Core Natural,7%,Brighthouse,6%,Kyndryl,5%,55%,20-30,Concentrated,"Distressed, Financials",Low,Event-Driven
